Frame,Plane1vsYOZ,Plane2vsPlane1,Plane3vsPlane2,Theta0_Plane1,Theta0_Plane2,Theta0_Plane3,PCC_Theta_Plane1,PCC_Theta_Plane2,PCC_Theta_Plane3
1,67.38,34.80,60.87,25.83,18.11,25.92,25.81,17.71,25.98
1,67.38,34.80,60.87,25.83,18.11,25.92,25.81,17.71,25.98
2,67.08,33.67,61.82,25.76,18.23,26.76,25.75,17.83,26.85
3,66.47,32.97,63.02,25.54,18.62,27.71,25.52,18.22,27.84
4,66.13,31.78,64.42,25.55,18.74,28.76,25.53,18.33,28.93
5,65.62,31.40,65.25,25.36,18.78,29.92,25.33,18.36,30.14
6,65.14,30.81,66.29,25.43,18.85,31.10,25.40,18.43,31.37
7,64.87,30.49,66.90,25.42,19.02,32.34,25.40,18.59,32.69
8,64.56,30.37,67.22,25.14,18.92,33.62,25.11,18.49,34.04
9,64.27,30.03,67.36,25.12,18.76,35.03,25.09,18.33,35.56
10,63.96,29.33,67.84,25.01,19.03,36.33,24.98,18.59,36.96
11,63.56,29.46,67.50,25.06,18.91,37.77,25.04,18.47,38.51
12,63.40,28.99,67.52,25.13,18.75,39.09,25.11,18.30,39.95
13,63.15,29.09,66.96,25.06,18.55,40.40,25.03,18.10,41.39
14,62.70,28.98,67.03,25.06,18.62,41.61,25.03,18.17,42.73
15,62.59,28.53,66.88,25.18,18.49,42.87,25.16,18.04,44.12
16,62.47,28.49,66.50,25.27,18.41,43.99,25.25,17.95,45.37
17,62.35,27.48,67.37,25.21,18.60,45.05,25.19,18.14,46.57
18,62.10,27.77,66.56,25.22,18.31,46.11,25.20,17.85,47.75
19,61.94,27.36,66.10,25.20,18.23,47.20,25.18,17.76,48.98
20,61.54,27.21,65.58,25.21,18.28,48.33,25.19,17.82,50.27
21,61.53,26.89,64.99,25.12,18.12,49.42,25.09,17.66,51.52
22,61.25,27.28,63.94,25.22,17.88,50.52,25.20,17.41,52.79
23,60.76,27.57,63.30,25.16,17.78,51.55,25.14,17.32,53.98
24,60.54,28.06,62.19,25.23,17.52,52.52,25.21,17.05,55.11
25,60.11,28.01,61.64,25.09,17.32,53.48,25.06,16.87,56.25
26,59.85,28.02,61.06,25.31,17.24,54.40,25.29,16.79,57.33
27,59.44,28.11,60.51,25.39,17.02,55.21,25.37,16.56,58.29
28,59.00,28.48,59.34,25.28,16.79,56.08,25.26,16.34,59.33
29,58.64,28.41,59.03,25.50,16.72,56.67,25.48,16.28,60.03
30,58.09,28.11,58.56,25.46,16.67,57.50,25.44,16.22,61.04
31,57.98,28.41,56.95,25.55,16.34,58.15,25.53,15.90,61.83
32,57.16,29.13,56.19,26.14,16.16,58.48,26.13,15.72,62.22
33,56.49,29.15,55.38,26.22,16.17,59.05,26.22,15.73,62.91
34,55.82,28.94,55.07,26.18,16.20,59.39,26.17,15.76,63.34
35,55.21,29.55,53.96,26.15,15.89,59.55,26.15,15.45,63.53
36,54.66,29.46,53.42,26.07,15.91,59.50,26.06,15.47,63.45
37,54.01,29.01,53.06,26.20,15.87,59.53,26.20,15.43,63.50
38,53.56,28.57,52.69,26.04,15.89,59.28,26.04,15.45,63.18
39,52.63,27.98,52.13,26.08,15.97,59.36,26.08,15.54,63.28
40,50.84,28.82,51.58,25.80,15.85,59.13,25.78,15.41,63.00
41,49.92,28.60,51.23,25.50,15.83,58.67,25.48,15.40,62.44
42,49.40,27.56,51.28,26.08,16.23,58.26,26.08,15.80,61.94
43,48.48,26.64,51.66,25.91,16.13,57.81,25.90,15.70,61.38
44,47.71,26.09,51.50,25.81,15.84,57.43,25.80,15.42,60.91
45,46.43,26.02,51.50,25.69,15.56,56.94,25.68,15.14,60.31
46,45.68,25.30,51.63,25.66,15.79,56.45,25.65,15.38,59.72
47,44.69,25.03,51.70,25.48,15.50,55.87,25.46,15.09,59.02
48,43.74,25.21,51.15,25.56,15.23,55.41,25.55,14.83,58.47
49,43.05,24.40,51.35,25.77,15.31,55.00,25.76,14.91,57.99
50,42.03,23.83,51.96,25.93,15.23,54.24,25.92,14.84,57.08
51,41.30,23.16,52.36,26.17,15.62,53.34,26.18,15.23,56.02
52,40.31,22.86,52.50,26.27,15.54,52.78,26.27,15.16,55.37
53,40.01,21.67,52.65,27.21,17.08,52.30,27.24,16.69,54.81
54,39.12,21.69,52.48,27.30,16.67,51.65,27.34,16.28,54.04
55,37.33,22.16,53.29,26.69,17.43,50.55,26.72,17.04,52.77
56,36.09,22.87,52.89,26.57,17.02,49.90,26.60,16.64,52.02
57,35.05,25.39,50.45,26.81,14.26,49.35,26.85,13.88,51.38
58,33.88,26.44,49.67,26.81,13.67,48.70,26.85,13.29,50.62
59,32.58,27.13,49.48,26.77,13.36,47.93,26.81,12.99,49.74
60,31.61,27.20,49.47,27.11,13.21,47.35,27.15,12.85,49.07
61,30.49,27.72,49.19,27.16,12.97,46.65,27.22,12.61,48.28
62,30.00,30.80,45.80,28.10,13.27,45.93,28.17,12.89,47.46
63,28.50,33.38,43.26,28.04,11.52,45.66,28.11,11.16,47.16
64,27.86,34.95,41.09,28.43,10.79,45.10,28.51,10.45,46.52
65,27.70,32.51,42.66,29.61,11.82,44.47,29.72,11.45,45.83
66,26.67,31.97,43.06,30.07,11.33,43.85,30.20,10.98,45.14
67,25.87,32.15,42.67,30.04,11.10,43.31,30.17,10.75,44.53
68,25.26,31.84,42.31,30.31,11.03,43.20,30.45,10.69,44.41
